Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-10T09:27:29.058Z","On-Demand","auto","No","0","232641","2674176","28229","2935046","1.13"
"2025-12-10T09:19:59.052Z","On-Demand","auto","No","0","28992","498688","3332","531012","0.18"
"2025-12-10T09:15:26.923Z","On-Demand","auto","No","0","37216","60672","1507","99395","0.07"
"2025-12-10T09:04:40.580Z","On-Demand","auto","No","0","61186","45184","6782","113152","0.13"
"2025-12-10T08:58:27.738Z","On-Demand","auto","No","0","29256","33280","7178","69714","0.09"
"2025-12-10T08:42:48.296Z","On-Demand","auto","No","0","38540","64512","783","103835","0.07"
"2025-12-10T08:36:39.265Z","On-Demand","auto","No","0","5003","50560","328","55891","0.02"
"2025-12-10T08:31:57.603Z","On-Demand","auto","No","0","4433","44416","1219","50068","0.02"
"2025-12-10T08:26:36.704Z","On-Demand","auto","No","0","15617","27904","1132","44653","0.03"
"2025-12-10T08:22:45.723Z","On-Demand","auto","No","0","14131","35712","2448","52291","0.04"
"2025-12-10T06:10:43.740Z","On-Demand","auto","No","94286","0","1169568","8338","1272192","0.46"
"2025-12-10T06:02:28.095Z","On-Demand","auto","No","82206","0","439040","10953","532199","0.28"
"2025-12-10T05:58:02.869Z","On-Demand","auto","No","38465","0","120064","2934","161463","0.10"
"2025-12-10T05:50:10.481Z","On-Demand","auto","No","26121","0","1050624","6162","1082907","0.33"
"2025-12-10T05:45:49.778Z","On-Demand","auto","No","101061","0","109824","2093","212978","0.17"
"2025-12-10T05:39:07.549Z","On-Demand","auto","No","11152","0","654080","4013","669245","0.20"
"2025-12-10T05:32:10.380Z","On-Demand","auto","No","89662","0","165888","3406","258956","0.17"
"2025-12-10T05:30:17.387Z","On-Demand","auto","No","24429","0","128768","1639","154836","0.07"
"2025-12-10T05:20:42.492Z","On-Demand","auto","No","29181","0","558080","5932","593193","0.21"
"2025-12-10T05:19:22.803Z","On-Demand","auto","No","44757","0","59904","1759","106420","0.08"
"2025-12-10T05:11:16.331Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-10T05:01:16.503Z","On-Demand","auto","No","4934","0","242176","1234","248344","0.07"
"2025-12-10T04:57:01.750Z","On-Demand","auto","No","30711","0","360704","9422","400837","0.19"
"2025-12-10T04:45:52.119Z","On-Demand","auto","No","101815","0","416512","5938","524265","0.27"
"2025-12-10T04:43:50.211Z","On-Demand","auto","No","81678","0","262656","1928","346262","0.18"
"2025-12-10T04:32:39.972Z","On-Demand","auto","No","71289","0","489728","2944","563961","0.23"
"2025-12-10T04:29:19.602Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-10T04:29:03.847Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-10T04:25:23.411Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-10T04:16:40.869Z","On-Demand","auto","No","46053","55","1027072","14089","1087269","0.40"
"2025-12-10T04:10:08.573Z","On-Demand","auto","No","13271","0","474624","2828","490723","0.15"
"2025-12-10T04:08:05.353Z","On-Demand","auto","No","14693","0","261376","1922","277991","0.10"
"2025-12-10T04:01:38.835Z","On-Demand","auto","No","18495","0","571904","5334","595733","0.20"
"2025-12-10T04:00:06.428Z","On-Demand","auto","No","12141","0","140800","1321","154262","0.06"
"2025-12-10T03:51:06.045Z","On-Demand","auto","No","12764","0","192512","987","206263","0.07"
"2025-12-10T03:49:50.768Z","On-Demand","auto","No","38653","0","284928","1498","325079","0.13"
"2025-12-10T03:41:08.767Z","On-Demand","auto","No","49405","0","472064","10757","532226","0.24"
"2025-12-10T03:39:54.907Z","On-Demand","auto","No","19701","0","92416","2168","114285","0.06"
"2025-12-10T03:35:05.557Z","On-Demand","auto","No","93583","0","395520","3830","492933","0.24"
"2025-12-10T03:31:53.954Z","On-Demand","auto","No","84835","0","407808","1471","494114","0.22"
"2025-12-10T01:10:22.103Z","On-Demand","auto","No","21499","0","1021440","7555","1050494","0.33"
"2025-12-10T00:50:43.625Z","On-Demand","auto","No","15492","0","736256","5260","757008","0.23"
"2025-12-10T00:46:09.603Z","On-Demand","auto","No","37925","0","650496","9184","697605","0.27"
"2025-12-10T00:40:35.303Z","On-Demand","auto","No","6464","0","682496","2217","691177","0.19"
"2025-12-10T00:35:40.630Z","On-Demand","auto","No","5388","0","274688","1589","281665","0.08"
"2025-12-10T00:28:35.952Z","On-Demand","auto","No","95958","0","498688","6003","600649","0.28"
"2025-12-10T00:22:34.825Z","On-Demand","auto","No","11867","0","548352","3467","563686","0.17"
"2025-12-10T00:15:47.845Z","On-Demand","auto","No","20631","0","571136","5523","597290","0.20"
"2025-12-10T00:10:56.781Z","On-Demand","auto","No","36063","0","93440","1557","131060","0.08"
"2025-12-09T23:59:54.843Z","On-Demand","auto","No","27993","56","2102016","9115","2139180","0.62"
"2025-12-09T23:55:47.883Z","On-Demand","auto","No","11831","0","858368","1518","871717","0.24"
"2025-12-09T23:48:43.077Z","On-Demand","auto","No","18853","0","1084160","5456","1108469","0.33"
"2025-12-09T23:44:56.059Z","On-Demand","auto","No","7393","0","722688","2680","732761","0.21"
"2025-12-09T23:41:39.937Z","On-Demand","auto","No","9958","0","545024","2803","557785","0.17"
"2025-12-09T23:37:46.159Z","On-Demand","auto","No","8709","0","513024","1917","523650","0.15"
"2025-12-09T23:31:32.196Z","On-Demand","auto","No","117321","0","556544","11335","685200","0.35"
"2025-12-09T23:26:04.098Z","On-Demand","auto","No","64517","0","298496","1994","365007","0.17"
"2025-12-09T23:26:01.173Z","On-Demand","auto","No","0","0","0","0","0","0.00"
"2025-12-09T23:22:54.633Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-09T23:09:22.731Z","On-Demand","auto","No","6372","0","313344","813","320529","0.09"
"2025-12-09T22:50:27.822Z","On-Demand","auto","No","42507","0","1715712","19192","1777411","0.60"
"2025-12-09T22:34:37.153Z","On-Demand","auto","No","28408","0","43264","483","72155","0.05"
"2025-12-09T22:31:17.896Z","On-Demand","auto","No","25458","0","81664","3312","110434","0.07"
"2025-12-09T19:12:05.534Z","On-Demand","auto","No","14200","0","1158656","4156","1177012","0.33"
"2025-12-09T19:04:35.232Z","On-Demand","auto","No","18177","54","1190144","7870","1216245","0.37"
"2025-12-09T18:58:46.124Z","On-Demand","auto","No","9684","0","676096","4297","690077","0.21"
"2025-12-09T18:53:05.534Z","On-Demand","auto","No","133419","0","509696","4220","647335","0.32"
"2025-12-09T18:48:28.010Z","On-Demand","auto","No","117749","0","242592","1349","361690","0.22"
"2025-12-09T18:42:22.802Z","On-Demand","auto","No","13286","0","783104","4857","801247","0.24"
"2025-12-09T18:36:29.921Z","On-Demand","auto","No","13229","56","698112","4653","716050","0.22"
"2025-12-09T18:11:26.547Z","On-Demand","auto","No","8713","0","1078016","3134","1089863","0.30"
"2025-12-09T18:06:02.631Z","On-Demand","auto","No","15514","0","812544","6142","834200","0.26"
"2025-12-09T18:01:51.405Z","On-Demand","auto","No","21820","0","605696","4254","631770","0.20"
"2025-12-09T17:59:53.404Z","On-Demand","auto","No","27406","0","284128","1835","313369","0.12"
"2025-12-09T17:55:19.036Z","On-Demand","auto","No","45288","0","522240","5870","573398","0.22"
"2025-12-09T17:51:39.323Z","On-Demand","auto","No","23563","0","539136","4413","567112","0.19"
"2025-12-09T17:47:22.346Z","On-Demand","auto","No","154260","0","315520","1058","470838","0.28"
"2025-12-09T17:35:36.379Z","On-Demand","auto","No","4336","0","1520224","3356","1527916","0.41"
"2025-12-09T17:29:41.902Z","On-Demand","auto","No","135396","0","1589408","5537","1730341","0.60"
"2025-12-09T17:18:43.268Z","On-Demand","auto","No","134385","0","820768","1505","956658","0.38"
"2025-12-09T17:12:38.600Z","On-Demand","auto","No","4998","0","395360","2245","402603","0.12"
"2025-12-09T17:08:37.134Z","On-Demand","auto","No","2679","0","512416","2066","517161","0.14"
"2025-12-09T17:05:01.183Z","On-Demand","auto","No","6208","0","1089344","2579","1098131","0.30"
"2025-12-09T17:00:04.529Z","On-Demand","auto","No","16366","0","1101728","6265","1124359","0.33"
"2025-12-09T16:56:36.946Z","On-Demand","auto","No","6379","0","454784","3111","464274","0.14"
"2025-12-09T16:53:52.003Z","On-Demand","auto","No","4184","0","334656","2050","340890","0.10"
"2025-12-09T16:50:31.373Z","On-Demand","auto","No","10770","56","825952","4794","841572","0.25"
"2025-12-09T16:48:12.553Z","On-Demand","auto","No","4363","0","319840","3339","327542","0.11"
"2025-12-09T16:45:29.378Z","On-Demand","auto","No","6171","0","499648","3981","509800","0.16"
"2025-12-09T16:44:07.473Z","On-Demand","auto","No","2184","0","143232","2157","147573","0.05"
"2025-12-09T16:42:00.646Z","On-Demand","auto","No","35383","0","309056","3957","348396","0.15"
"2025-12-09T15:42:35.568Z","On-Demand","auto","No","43243","0","230016","2060","275319","0.12"
"2025-12-09T15:33:33.226Z","On-Demand","auto","No","0","54085","412672","3956","470713","0.19"
"2025-12-09T15:33:11.179Z","On-Demand","auto","No","0","21266","6784","291","28341","0.03"
"2025-12-09T15:30:28.903Z","On-Demand","auto","No","0","26675","85376","4336","116387","0.08"
"2025-12-09T15:20:37.496Z","On-Demand","auto","No","0","12397","16640","258","29295","0.02"
"2025-12-09T15:20:25.881Z","Errored, No Charge","auto","No","0","0","0","0","0","0.00"
"2025-12-09T15:11:08.071Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-09T15:06:14.216Z","On-Demand","auto","No","0","52483","435840","7826","496149","0.22"
"2025-12-09T15:02:16.458Z","On-Demand","auto","No","0","54931","5760","1169","61860","0.08"
"2025-12-09T14:27:02.632Z","On-Demand","auto","No","0","52549","123776","1216","177541","0.10"
"2025-12-09T14:20:15.192Z","On-Demand","auto","No","0","29129","523392","3099","555620","0.19"
"2025-12-09T14:18:18.540Z","On-Demand","auto","No","0","41187","51584","687","93458","0.07"
"2025-12-09T14:15:07.489Z","On-Demand","auto","No","0","14172","178560","2074","194806","0.07"
"2025-12-09T14:08:09.750Z","On-Demand","auto","No","0","8848","26240","2339","37427","0.03"
"2025-12-09T14:03:14.933Z","On-Demand","auto","No","0","50766","79232","1103","131101","0.09"
"2025-12-09T14:00:52.974Z","On-Demand","auto","No","0","23449","6784","1447","31680","0.04"
"2025-12-09T13:59:02.653Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-09T13:52:33.749Z","On-Demand","auto","No","0","25573","115200","2862","143635","0.08"
"2025-12-09T13:47:38.881Z","On-Demand","auto","No","0","37196","91392","1366","129954","0.08"
"2025-12-09T13:30:20.973Z","On-Demand","auto","No","0","1786","66432","1195","69413","0.03"
"2025-12-09T13:24:39.485Z","On-Demand","auto","No","0","820","65280","382","66482","0.02"
"2025-12-09T13:22:11.802Z","On-Demand","auto","No","0","3375","62080","675","66130","0.02"
